feature,mean_abs_shap
Init_Win_bytes_backward,1.1605568300797497
Destination IP,1.0532867831063604
Init_Win_bytes_forward,0.9283905176026571
Fwd Packet Length Max,0.9026229972749025
Source Port,0.6992012772771892
Source IP,0.5117402688764741
Total Backward Packets,0.3092154415555623
Bwd Header Length,0.3046784213765528
Fwd Header Length.1,0.2726445657670168
Total Length of Fwd Packets,0.26539622902562
PSH Flag Count,0.2608927929996863
Flow Bytes/s,0.2567777596917438
Average Packet Size,0.2500077568975273
min_seg_size_forward,0.19224444565029447
Bwd Packet Length Std,0.18478675452599558
Max Packet Length,0.18009424466300758
Flow Duration,0.1708148159689559
Flow IAT Min,0.14888916051523846
Fwd IAT Std,0.14635935833098998
Destination Port,0.14222709905700787
Bwd Packets/s,0.12875283844865615
Packet Length Std,0.12635539496104256
Fwd IAT Min,0.1211446004990776
Fwd Header Length,0.1188677859362618
act_data_pkt_fwd,0.11817106974107285
Total Length of Bwd Packets,0.11278972299715391
Packet Length Variance,0.10595446919587781
Flow IAT Std,0.09619992315248511
Fwd IAT Total,0.08522023070833816
Flow IAT Mean,0.08346370718302167
Bwd IAT Std,0.07939678176178806
Packet Length Mean,0.07271696853732582
FIN Flag Count,0.06861553255945994
Bwd Packet Length Max,0.06615322635904455
Flow IAT Max,0.06426927940070523
Fwd Packet Length Std,0.058485920346604034
Fwd IAT Mean,0.05665590714670166
Subflow Bwd Packets,0.05418322105214795
Avg Fwd Segment Size,0.0535477082920985
Subflow Bwd Bytes,0.05130968706061148
Bwd IAT Total,0.05071277880663468
Bwd Packet Length Mean,0.04671401756987132
Flow ID,0.04589698935044001
Active Max,0.03813896178613463
Bwd IAT Max,0.03646699175724284
Total Fwd Packets,0.03448699822066595
URG Flag Count,0.032364633933301724
Idle Min,0.03226171638281415
Subflow Fwd Packets,0.029727035239877755
Flow Packets/s,0.028867091416721197
Fwd Packet Length Min,0.02735593846221162
Fwd IAT Max,0.024775451818686837
Bwd IAT Mean,0.018851342962626857
Fwd Packets/s,0.018571692856004764
Idle Mean,0.01773136127624677
Min Packet Length,0.017184134132492635
Bwd IAT Min,0.01572072375670677
Fwd Packet Length Mean,0.012780704244813234
ACK Flag Count,0.005779122294330041
Fwd PSH Flags,0.004680600061374826
Down/Up Ratio,0.004277268673194701
Active Min,0.002938529523573881
Active Std,0.0010710388414831699
Idle Std,0.0005139071897736973
Bwd Packet Length Min,0.00033573308256597815
Protocol,0.0
Bwd URG Flags,0.0
RST Flag Count,0.0
SYN Flag Count,0.0
Bwd PSH Flags,0.0
Fwd URG Flags,0.0
Bwd Avg Bulk Rate,0.0
Fwd Avg Bytes/Bulk,0.0
Avg Bwd Segment Size,0.0
ECE Flag Count,0.0
CWE Flag Count,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Fwd Avg Packets/Bulk,0.0
Subflow Fwd Bytes,0.0
Active Mean,0.0
Idle Max,0.0
